,index,tconst,primaryTitle,startYear,genres,directorNames,averageRating,numRatings,weightedRating,worldwideBoxOffice
1986,6809,tt5316540,Close,2019,"Action,Drama,Thriller",Vicky Jewson,5.7,28039,0.0566070338458721,
1987,6497,tt9260636,Bigil,2019,"Action,Drama,Sport",Atlee,6.7,26047,0.0618109666229868,
1988,3884,tt5932728,The Professor and the Madman,2019,"Biography,Drama,History",,7.2,53119,0.1354613531539964,
1989,4011,tt7533152,The Boy Who Harnessed the Wind,2019,"Biography,Drama,History",Chiwetel Ejiofor,7.6,48069,0.1293932741270957,
1990,3897,tt4687108,In the Tall Grass,2019,"Horror,Mystery,Sci-Fi",Vincenzo Natali,5.5,69148,0.1347024005414702,
1991,5229,tt6095472,The Angry Birds Movie 2,2019,"Action,Adventure,Animation","None,John Rice",6.4,38702,0.0877296517005376,147792047
1992,5078,tt8652728,Waves,2019,"Drama,Romance,Sport",Trey Edward Shults,7.5,34440,0.0914865875562345,
1993,8361,tt8041276,Paddleton,2019,"Comedy,Drama",Alex Lehmann,7.2,15868,0.0404657608736537,
1994,5125,tt8722346,Queen & Slim,2019,"Crime,Drama,Romance",Melina Matsoukas,7.1,36004,0.0905403406831596,47834125
1995,1421,tt5363618,Sound of Metal,2019,"Drama,Music",Darius Marder,7.7,159491,0.4349706251903668,
1996,8375,tt8488126,The Inventor: Out for Blood in Silicon Valley,2019,"Crime,Documentary",Alex Gibney,7.2,15831,0.0403714053687177,
1997,4362,tt4913966,The Curse of La Llorona,2019,"Horror,Mystery,Thriller",Michael Chaves,5.3,61093,0.114683342996272,123233739
1998,8854,tt7616148,Luce,2019,"Drama,Mystery,Thriller",Julius Onah,6.6,15675,0.0366424503121573,
1999,8052,tt9500372,Pocket Hercules: Naim Süleymanoglu,2019,"Biography,Drama,History",Özer Feyzioglu,8.2,14859,0.0431555303015266,
2000,8109,tt7645122,Plus One,2019,"Comedy,Drama,Romance","Jeff Chan,Andrew Rhymer",6.6,18222,0.0425964101810609,
2001,4924,tt2076298,Ip Man 4: The Finale,2019,"Action,Biography,Drama",Wilson Yip,7.0,38673,0.0958824065193023,176345966
2002,2884,tt6977338,Good Boys,2019,"Adventure,Comedy",,6.7,85462,0.202806036377844,111173598
2003,6985,tt1950235,Let It Snow,2019,"Comedy,Romance",Luke Snellin,5.9,26063,0.0544639879818855,
2004,7994,tt8535968,System Crasher,2019,Drama,Nora Fingscheidt,7.8,15796,0.0436389960081246,
2005,3152,tt5719748,Cold Pursuit,2019,"Action,Comedy,Crime",Hans Petter Moland,6.2,81798,0.1796252547864273,76419755
2006,3705,tt5814534,Spies in Disguise,2019,"Action,Adventure,Animation","Nick Bruno,Troy Quane",6.8,60085,0.1447131512603607,171616764
2007,5871,tt8359816,Sorry We Missed You,2019,Drama,Ken Loach,7.6,27164,0.0731206993777367,
2008,4321,tt7734218,Stuber,2019,"Action,Comedy,Crime",Michael Dowse,6.2,52976,0.1163332538395288,32390945
2009,4414,tt1478839,The Art of Racing in the Rain,2019,"Comedy,Drama,Romance",Simon Curtis,7.6,41882,0.1127389608061541,33766787
2010,10070,tt9024106,Unplanned,2019,"Biography,Drama","Chuck Konzelman,Cary Solomon",5.5,14960,0.0291425335815988,21585326
2011,5406,tt7430722,War,2019,"Action,Adventure,Thriller",Siddharth Anand,6.6,35492,0.0829673905249817,67179155
2012,7371,tt7616798,A Dog's Way Home,2019,"Adventure,Drama,Family",Charles Martin Smith,6.7,21186,0.050275545701025,80708134
2013,4495,tt10324144,Article 15,2019,"Crime,Drama,Mystery",Anubhav Sinha,8.1,38353,0.1100315882679385,
2014,3865,tt9412098,Fyre,2019,"Crime,Documentary,Music",Chris Smith,7.2,53496,0.1364227592448312,
2015,1404,tt5884052,Pokémon: Detective Pikachu,2019,"Adventure,Comedy,Family",Rob Letterman,6.5,190543,0.4386714577728584,433305346
2016,8377,tt8510488,Holiday in the Wild,2019,"Comedy,Drama,Romance",Ernie Barbarash,6.2,18383,0.0403683593576724,
2017,9290,tt6127004,Paradise Hills,2019,"Fantasy,Mystery,Sci-Fi",Alice Waddington,5.2,18338,0.0337744538194052,
2018,3250,tt8368406,Vivarium,2019,"Horror,Mystery,Sci-Fi",Lorcan Finnegan,5.9,82535,0.1724738229706833,
2019,4268,tt3361792,Tolkien,2019,"Biography,Drama,Romance",Dome Karukoski,6.8,49259,0.1186390133633038,
2020,6935,tt8144834,Section 375,2019,"Crime,Drama,Mystery",Ajay Bahl,8.1,19188,0.055048786683837,
2021,692,tt1979376,Toy Story 4,2019,"Adventure,Animation,Comedy",,7.6,296700,0.7986640960600243,1073394593
2022,3841,tt4463894,Shaft,2019,"Action,Comedy,Crime",Tim Story,6.4,60653,0.137488154736001,21360215
2023,3054,tt3861390,Dumbo,2019,"Adventure,Family,Fantasy",,6.2,85582,0.1879347729178223,353284621
2024,3835,tt8236336,The Report,2019,"Biography,Crime,Drama",Scott Z. Burns,7.2,54037,0.1378023897359231,
2025,6716,tt8075260,Someone Great,2019,"Comedy,Romance",Jennifer Kaytin Robinson,6.2,26435,0.05805024096285,
2026,6839,tt1255919,Holmes & Watson,2018,"Comedy,Crime,Mystery",,3.9,40693,0.0562104857102625,40466970
2027,6352,tt7581902,Sonu Ke Titu Ki Sweety,2018,"Comedy,Romance",Luv Ranjan,7.1,25521,0.0641784255797943,
2028,206,tt6966692,Green Book,2018,"Biography,Comedy,Drama",Peter Farrelly,8.2,632572,1.8372017036070596,321752656
2029,5388,tt6628102,The Wild Pear Tree,2018,Drama,Nuri Bilge Ceylan,8.0,29471,0.0835060386177247,
