,Unnamed: 0,index,tconst,primaryTitle,startYear,genres,directorNames,averageRating,numRatings,weightedRating,releaseDate,poster
1625,8770,8770,tt10183816,Dangerous Lies,2020,"Crime,Mystery,Thriller",Michael M. Scott,5.4,19486,0.0372691493753474,2020-04-30,/6G1v6iFroz0Xw3VNxhMWjiS5hLa.jpg
1626,2241,2241,tt10633456,Minari,2020,Drama,Lee Isaac Chung,7.4,103677,0.2717359912570699,2021-02-12,/6mPNdmjdbVKPITv3LLCmQoKs9Zw.jpg
1627,4196,4196,tt10886166,365 Days,2020,"Drama,Romance","Barbara Bialowas,Tomasz Mandes",3.3,103720,0.1212298228509396,2020-02-07,/6KwrHucIE3CvNT7kTm2MAlZ4fYF.jpg
1628,11181,11181,tt10556022,Unpregnant,2020,"Comedy,Drama",Rachel Lee Goldenberg,6.5,10502,0.0241778897652002,2020-09-10,/1BqjLXnPkGzIFR5CRBTYfXdu2DV.jpg
1629,2913,2913,tt9686708,The King of Staten Island,2020,"Comedy,Drama",Judd Apatow,7.1,79508,0.1999411567336033,2020-07-22,/zQFjMmE3K9AX5QrBL1SXIxYQ9jz.jpg
1630,6656,6656,tt10314450,Becky,2020,"Action,Crime,Drama","Jonathan Milott,Cary Murnion",6.1,27368,0.0591297331097872,2020-07-23,/9wqKF883Kn9c0SZV4ZmkIkFhBLh.jpg
1631,5590,5590,tt8850222,Peninsula,2020,"Action,Horror,Thriller",Yeon Sang-ho,5.5,40520,0.0789341885512289,2020-07-15,/eeqvAzCccAZOhU3RfbvHB3s44S6.jpg
1632,8614,8614,tt10627584,The Life Ahead,2020,Drama,Edoardo Ponti,6.8,15969,0.0384609189061612,2020-11-03,/6oTn5kXRS84exXTC7XcqotKZu9B.jpg
1633,7856,7856,tt5096470,Love Wedding Repeat,2020,"Comedy,Romance",Dean Craig,5.6,22671,0.0449667734739814,2020-04-10,/u0MV99rB1hv8tkjtBJHfwIGCVKD.jpg
1634,5361,5361,tt7772582,Never Rarely Sometimes Always,2020,Drama,Eliza Hittman,7.4,32055,0.0840157141868049,2020-03-13,/7yiSyQhhjTFphhfCUcn05tCQxyG.jpg
1635,3365,3365,tt9731534,The Night House,2020,"Horror,Mystery,Thriller",David Bruckner,6.4,72769,0.1649526904190074,2021-07-15,/rqs2CXpc4d5FzeP1EZCYItAVo81.jpg
1636,11131,11131,tt12474056,New Order,2020,"Crime,Drama,Sci-Fi",Michel Franco,6.5,10581,0.0243597649595871,2020-10-22,/v6NodCMzqilx0Xw541P65WFnDfE.jpg
1637,6459,6459,tt3152592,Scoob!,2020,"Adventure,Animation,Comedy",,5.6,31451,0.0623814561567724,2020-07-08,/jHo2M1OiH9Re33jYtUQdfzPeUkx.jpg
1638,7616,7616,tt3089630,Artemis Fowl,2020,"Adventure,Family,Fantasy",Kenneth Branagh,4.3,31042,0.0472771374330573,2020-05-29,/tI8ocADh22GtQFV28vGHaBZVb0U.jpg
1639,10460,10460,tt8747450,Chaman Bahaar,2020,"Comedy,Drama",Apurva Dhar Badgaiyan,6.9,11156,0.0272640656537504,2020-06-19,/jfVAx36bnczMArJB8eFZuoDdKC4.jpg
1640,10878,10878,tt9148706,Misbehaviour,2020,"Comedy,Drama,History",Philippa Lowthorpe,6.4,11192,0.0253700134833449,2020-03-12,/o1SoYYvxG4bWTXp4wNWt5sKQf1E.jpg
1641,10570,10570,tt7456312,The Last Thing He Wanted,2020,"Crime,Drama,Mystery",Dee Rees,4.4,17104,0.0266552884695008,2020-02-14,/4mDbGqi8mloDdxkviq13SKCfuFH.jpg
1642,7089,7089,tt9580138,Mortal Kombat Legends: Scorpion's Revenge,2020,"Action,Adventure,Animation",Ethan Spaulding,7.4,20289,0.053177189990207,2020-04-12,/4VlXER3FImHeFuUjBShFamhIp9M.jpg
1643,12790,12790,tt7209472,Aiyai: Wrathful Soul,2020,"Mystery,Thriller",Alan Arumugam,4.2,12906,0.0191987951057034,2020-02-28,/d4i7eJDNE88Ktv07kTCnZMgSuvH.jpg
1644,6529,6529,tt9179096,Minamata,2020,Drama,Andrew Levitas,7.2,24066,0.0613718805889432,2020-03-13,/tjn9yxa5QNFsV2mFPsaWdqOOk2g.jpg
1645,1119,1119,tt7846844,Enola Holmes,2020,"Adventure,Crime,Drama",Harry Bradbeer,6.6,232817,0.544241489909125,2020-09-23,/riYInlsq2kf1AWoGm80JQW5dLKp.jpg
1646,8393,8393,tt7979142,The Night Clerk,2020,"Crime,Drama,Mystery",Michael Cristofer,5.6,20273,0.0402104626455835,2020-02-19,/hPWjid7yMatyIDHvku7lCMN7zSi.jpg
1647,8561,8561,tt9601220,Black Bear,2020,"Comedy,Drama",Lawrence Michael Levine,6.5,16914,0.0389397093399921,2020-12-04,/nqZFjQRWfW6PjFTc17pzJ5LRAAv.jpg
1648,1409,1409,tt1502397,Bad Boys for Life,2020,"Action,Comedy,Crime","Adil El Arbi,Bilall Fallah",6.5,190189,0.4378564727245932,2020-01-15,/y95lQLnuNKdPAzw9F9Ab8kJ80c3.jpg
1649,4365,4365,tt8633462,"Quo Vadis, Aida?",2020,"Drama,History,War",Jasmila Zbanic,8.0,40427,0.1145498497912781,2021-02-26,/eQy2Tgvmx0FkK8vMMqMW4aX5UXQ.jpg
1650,5085,5085,tt6141246,The Aeronauts,2019,"Action,Adventure,Drama",Tom Harper,6.6,39014,0.0912005458678472,2019-11-04,/kZHnblqmTBUBgzYBIxWIz9txsEi.jpg
1651,10069,10069,tt8299768,Blow the Man Down,2019,"Comedy,Crime,Drama","Bridget Savage Cole,Danielle Krudy",6.4,12857,0.0291442336807868,2019-04-26,/AgxDU9Vp0R6RIV6jpmQ4JrTcZzv.jpg
1652,7790,7790,tt6836936,Saaho,2019,"Action,Thriller",Sujeeth,5.1,25307,0.0457134357861273,2019-08-29,/rWXIpR2uPkwb1Hrhjj2FA62FGdu.jpg
1653,4959,4959,tt10039344,Countdown,2019,"Horror,Thriller",Justin Dec,5.4,49621,0.0949056995357751,2019-10-24,/5TQ0kM41vWFWFAPbZGitOxDysZU.jpg
1654,3783,3783,tt8110640,In the Shadow of the Moon,2019,"Action,Crime,Mystery",Jim Mickle,6.2,64117,0.1407984603675073,2019-09-27,/2nizfZxyvea3xiSSkEZdykcU4U4.jpg
1655,2768,2768,tt8364368,Crawl,2019,"Action,Horror,Thriller",Alexandre Aja,6.1,98772,0.213401125355156,2019-07-11,/4WH6AZd473lRZ3hUp8TYiv2LfZW.jpg
1656,6864,6864,tt7671064,Brittany Runs a Marathon,2019,"Comedy,Drama",Paul Downs Colaizzo,6.8,23223,0.0559319882120222,2019-08-23,/aSWePCEtLpNdD7ykW6OuZqvVhyn.jpg
1657,4584,4584,tt8151874,Honey Boy,2019,Drama,Alma Har'el,7.2,41978,0.1070501455731181,2019-09-28,/juBWCym4Gc0XSDOvM7P4eOlzw1P.jpg
1658,4198,4198,tt6259380,Code 8,2019,"Action,Crime,Drama",Jeff Chan,6.1,56046,0.1210897771803251,2019-12-06,/izGX7npHEopDQvngYcxMJEfcFbj.jpg
1659,6336,6336,tt9351980,American Factory,2019,Documentary,"Steven Bognar,Julia Reichert",7.4,24550,0.0643452123938874,2019-08-21,/7jH3dQOJ3CHMrp9tWsI3rRCDiaD.jpg
1660,8942,8942,tt9541602,Extreme Job,2019,"Comedy,Crime",Lee Byeong-heon,7.1,14317,0.0360033901111208,2019-01-23,/52oLgq2gEiZyDjpJ7tgkGruoQI0.jpg
1661,4820,4820,tt7339248,The Art of Self-Defense,2019,"Comedy,Crime,Drama",Riley Stearns,6.6,42259,0.0987861759324693,2019-07-12,/bTq793Qwl3tCXb94zrDPAwppbsC.jpg
1662,398,398,tt8367814,The Gentlemen,2019,"Action,Crime",Guy Ritchie,7.8,432186,1.1939834849814723,2020-01-01,/jtrhTYB7xSrJxR1vusu99nvnZ1g.jpg
1663,10296,10296,tt8858104,Guava Island,2019,"Comedy,Drama,Music",Hiro Murai,6.6,11990,0.0280282602387729,2019-04-13,/oQ5OnvNNGUYOPh3iTjmqx6GPsdc.jpg
1664,7682,7682,tt5822564,The Kitchen,2019,"Action,Crime,Drama",Andrea Berloff,5.6,23548,0.0467062582932078,2019-08-08,/l3smhHvnczXg8E2WzysRVKIXSYJ.jpg
1665,10280,10280,tt4180560,Otherhood,2019,Comedy,,6.1,13000,0.0280870553356925,2019-08-13,/2qVErJgfMcg3TzfYcrbaXBcrXV9.jpg
1666,10041,10041,tt7957694,The Last Summer,2019,"Comedy,Romance",William Bindley,5.6,14778,0.0293114101009438,2019-05-03,/nAn3MRAUwbjVApN3qYkvsTEOAvx.jpg
1667,11679,11679,tt8743064,See You Yesterday,2019,"Action,Adventure,Crime",Stefon Bristol,5.3,11930,0.0223949107417466,2019-05-03,/d5uA1DdiWK5KH5yzyMfh1X3uXie.jpg
1668,12234,12234,tt7394816,Primal,2019,"Action,Thriller",Nick Powell,4.9,11931,0.0207064643168944,2019-12-27,/v0Air5GTsfgtjsnZyji2lH6r2b8.jpg
1669,9573,9573,tt8908002,Luka Chuppi,2019,"Comedy,Romance",Laxman Utekar,6.4,14183,0.032150009045236,2019-03-01,/ozCWKIQisOfWFgJDLMggIeEFTLE.jpg
1670,3325,3325,tt5113040,The Secret Life of Pets 2,2019,"Adventure,Animation,Comedy","Chris Renaud,Jonathan del Val",6.4,73790,0.167267092113655,2019-05-24,/s9xg4V5EDKiphgIksVJ9gewBM11.jpg
1671,9478,9478,tt8959820,Petta,2019,"Action,Drama",Karthik Subbaraj,7.2,12825,0.0327056581298594,2019-01-10,/yNkTNIjPl4QSQmVNQyfopM4wcFF.jpg
1672,4908,4908,tt9016974,Synchronic,2019,"Drama,Horror,Mystery","Justin Benson,Aaron Moorhead",6.2,43792,0.0961655438715766,2020-10-23,/wgm4gdJwb7iSYX0uBsRAZmHQmPm.jpg
1673,4455,4455,tt6324278,Abominable,2019,"Adventure,Animation,Comedy","Jill Culton,Todd Wilderman",7.0,44910,0.1113458711964902,2019-09-19,/llhj3xtNes2Ri4d9HqtleKo1CfL.jpg
1674,11905,11905,tt3038708,Iron Sky: The Coming Race,2019,"Action,Adventure,Comedy",Timo Vuorensola,5.0,12244,0.021683348394087,2019-01-25,/l5t2Nf1F7iQUKTrODg93xmQzZLj.jpg
1675,7814,7814,tt8816194,Come to Daddy,2019,"Comedy,Mystery,Thriller",Ant Timpson,6.0,21387,0.0454500266681808,2019-04-25,/uAfeUHiaINCMi2DGNiGbpKGX7C2.jpg
1676,6982,6982,tt8485364,The Room,2019,"Drama,Fantasy,Horror",Christian Volckman,6.1,25234,0.0545191349492974,2019-09-12,/9AC7L2sNgIuG9abRKG43SXQ5DWT.jpg
1677,6712,6712,tt9231040,First Cow,2019,"Drama,Western",Kelly Reichardt,7.1,23135,0.058178279682949,2020-03-06,/yS41crZ1i0fFxCQbuL7I1Y1VBwm.jpg
1678,5585,5585,tt4648786,Harriet,2019,"Action,Biography,Drama",Kasi Lemmons,6.7,33329,0.0790915539823215,2019-11-01,/rsUs58bDqpJJxZSOebZOMN9gzw2.jpg
1679,3834,3834,tt9900782,Kaithi,2019,"Action,Crime,Thriller",Lokesh Kanagaraj,8.4,46325,0.1378249160501646,2019-10-25,/s3VZHlvfU6Mg95Db2Q5Dkqy6gDY.jpg
